,Pokemon1,Pokemon2,Bonus_type_poke1,Bonus_type_poke2,Nb_victory_poke1,Nb_victory_poke2,Mean_nb_turn
2552,salamence,masquerain,1.0,0.0,100.0,0.0,4.92
2553,salamence,mothim,1.0,0.0,100.0,0.0,5.38
2554,salamence,garchomp,1.0,1.0,72.0,28.0,5.96
2555,salamence,dragonite,1.0,1.0,67.0,33.0,6.15
2556,flygon,skarmory,-1.0,0.0,73.0,27.0,9.59
2557,flygon,vespiquen,0.0,0.0,79.0,21.0,10.79
2558,flygon,farfetch'd,0.0,0.0,98.0,2.0,5.22
2559,flygon,dodrio,0.0,0.0,84.0,16.0,7.14
2560,flygon,staraptor,0.0,0.0,65.0,35.0,9.34
2561,flygon,swellow,0.0,0.0,61.0,39.0,12.27
2562,flygon,hitmontop,0.0,0.0,85.0,15.0,5.99
2563,flygon,noctowl,0.0,0.0,95.0,5.0,10.53
2564,flygon,crobat,0.0,0.0,42.0,58.0,11.44
2565,flygon,fearow,0.0,0.0,97.0,3.0,7.33
2566,flygon,pidgeot,0.0,0.0,65.0,35.0,9.55
2567,flygon,feraligatr,0.0,0.0,81.0,19.0,9.09
2568,flygon,kabutops,1.0,0.0,96.0,4.0,5.22
2569,flygon,dewgong,0.0,2.0,66.0,34.0,10.92
2570,flygon,seaking,0.0,0.0,99.0,1.0,7.67
2571,flygon,huntail,0.0,0.0,90.0,10.0,6.96
2572,flygon,kingdra,1.0,1.0,67.0,33.0,7.17
2573,flygon,lapras,0.0,2.0,33.0,67.0,10.93
2574,flygon,lumineon,0.0,0.0,97.0,3.0,8.51
2575,flygon,milotic,0.0,0.0,76.0,24.0,10.2
2576,flygon,chatot,0.0,0.0,90.0,10.0,7.9
2577,flygon,slowking,0.0,0.0,80.0,20.0,9.68
2578,flygon,gorebyss,0.0,0.0,91.0,9.0,6.53
2579,flygon,politoed,0.0,0.0,89.0,11.0,10.31
2580,flygon,lucario,1.0,0.0,78.0,22.0,6.5
2581,flygon,abomasnow,0.0,2.0,38.0,62.0,9.14
2582,flygon,weavile,0.0,2.0,20.0,80.0,7.2
2583,flygon,alolan sandslash,1.0,2.0,91.0,9.0,6.17
2584,flygon,cursola,0.0,0.0,91.0,9.0,6.31
2585,flygon,gengar,1.0,0.0,95.0,5.0,5.79
2586,flygon,drifblim,0.0,0.0,81.0,19.0,11.21
2587,flygon,mismagius,0.0,0.0,90.0,10.0,7.52
2588,flygon,froslass,0.0,2.0,56.0,44.0,7.08
2589,flygon,shedinja,0.0,0.0,100.0,0.0,1.46
2590,flygon,dusknoir,0.0,0.0,51.0,49.0,12.51
2591,flygon,exploud,0.0,0.0,86.0,14.0,10.38
2592,flygon,camerupt,1.0,0.0,93.0,7.0,6.75
2593,flygon,torkoal,1.0,0.0,98.0,2.0,6.22
2594,flygon,exeggutor,0.0,0.0,92.0,8.0,12.6
2595,flygon,alolan exeggutor,1.0,1.0,85.0,15.0,9.55
2596,flygon,marowak,0.0,0.0,94.0,6.0,7.66
2597,flygon,alolan marowak,1.0,0.0,97.0,3.0,6.17
2598,flygon,luvdisc,0.0,0.0,100.0,0.0,4.98
2599,flygon,clefable,0.0,1.0,63.0,37.0,9.67
2600,flygon,gallade,0.0,0.0,94.0,6.0,6.86
2601,flygon,galarian rapidash,0.0,1.0,63.0,37.0,7.03
2602,flygon,swalot,1.0,0.0,88.0,12.0,10.02
2603,flygon,weezing,1.0,0.0,98.0,2.0,5.76
2604,flygon,arbok,1.0,0.0,97.0,3.0,5.49
2605,flygon,raticate,0.0,0.0,99.0,1.0,6.34
2606,flygon,alolan raticate,0.0,0.0,97.0,3.0,7.93
2607,flygon,stantler,0.0,0.0,97.0,3.0,7.55
2608,flygon,rampardos,1.0,0.0,79.0,21.0,7.93
2609,flygon,lickilicky,0.0,0.0,65.0,35.0,16.03
2610,flygon,rapidash,1.0,0.0,81.0,19.0,6.61
2611,flygon,wigglytuff,0.0,1.0,51.0,49.0,12.25
2612,flygon,muk,1.0,0.0,93.0,7.0,8.91
2613,flygon,sunflora,0.0,0.0,87.0,13.0,8.49
2614,flygon,sudowoodo,1.0,0.0,94.0,6.0,6.82
2615,flygon,tauros,0.0,0.0,68.0,32.0,8.3
2616,flygon,drapion,1.0,0.0,99.0,1.0,6.45
2617,flygon,obstagoon,0.0,0.0,60.0,40.0,11.3
2618,flygon,ambipom,0.0,0.0,43.0,57.0,12.01
2619,flygon,scizor,0.0,0.0,83.0,17.0,8.49
2620,flygon,beedrill,0.0,0.0,93.0,7.0,6.45
2621,flygon,scyther,0.0,0.0,31.0,69.0,9.85
2622,flygon,dunsparce,0.0,0.0,97.0,3.0,9.93
2623,flygon,masquerain,0.0,0.0,93.0,7.0,6.75
2624,flygon,mothim,0.0,0.0,95.0,5.0,7.45
2625,flygon,garchomp,1.0,1.0,56.0,44.0,8.18
2626,flygon,dragonite,1.0,1.0,51.0,49.0,8.89
2627,flygon,salamence,1.0,1.0,55.0,45.0,8.22
2628,delcatty,skarmory,-1.0,0.0,5.0,95.0,7.71
2629,delcatty,vespiquen,0.0,0.0,14.0,86.0,9.06
2630,delcatty,farfetch'd,0.0,0.0,81.0,19.0,5.97
2631,delcatty,dodrio,0.0,0.0,20.0,80.0,6.02
2632,delcatty,staraptor,0.0,0.0,2.0,98.0,6.04
2633,delcatty,swellow,0.0,0.0,14.0,86.0,8.46
2634,delcatty,hitmontop,0.0,2.0,13.0,87.0,4.65
2635,delcatty,noctowl,0.0,0.0,32.0,68.0,9.48
2636,delcatty,crobat,0.0,0.0,4.0,96.0,7.18
2637,delcatty,fearow,0.0,0.0,51.0,49.0,7.71
2638,delcatty,pidgeot,0.0,0.0,15.0,85.0,7.95
2639,delcatty,feraligatr,0.0,0.0,8.0,92.0,7.78
2640,delcatty,kabutops,-1.0,0.0,8.0,92.0,7.46
2641,delcatty,dewgong,0.0,0.0,25.0,75.0,9.87
2642,delcatty,seaking,0.0,0.0,44.0,56.0,7.92
2643,delcatty,huntail,0.0,0.0,13.0,87.0,7.15
2644,delcatty,kingdra,0.0,0.0,5.0,95.0,7.33
2645,delcatty,lapras,0.0,0.0,8.0,92.0,8.9
2646,delcatty,lumineon,0.0,0.0,41.0,59.0,8.86
2647,delcatty,milotic,0.0,0.0,11.0,89.0,8.45
2648,delcatty,chatot,0.0,0.0,46.0,54.0,7.64
2649,delcatty,slowking,0.0,0.0,7.0,93.0,7.63
2650,delcatty,gorebyss,0.0,0.0,15.0,85.0,7.15
2651,delcatty,politoed,0.0,0.0,18.0,82.0,8.5
2652,delcatty,lucario,-1.0,2.0,0.0,100.0,3.99
2653,delcatty,abomasnow,0.0,0.0,7.0,93.0,8.89
2654,delcatty,weavile,0.0,0.0,3.0,97.0,5.51
2655,delcatty,alolan sandslash,-1.0,0.0,11.0,89.0,8.91
2656,delcatty,cursola,-1000.0,0.0,0.0,100.0,7.16
2657,delcatty,gengar,-1000.0,0.0,0.0,100.0,6.58
2658,delcatty,drifblim,-1000.0,0.0,0.0,100.0,9.06
2659,delcatty,mismagius,-1000.0,0.0,0.0,100.0,7.24
2660,delcatty,froslass,-1000.0,0.0,0.0,100.0,7.22
2661,delcatty,shedinja,-1000.0,0.0,0.0,100.0,8.94
2662,delcatty,dusknoir,-1000.0,0.0,0.0,100.0,8.78
2663,delcatty,exploud,0.0,0.0,14.0,86.0,8.02
2664,delcatty,camerupt,0.0,0.0,22.0,78.0,7.86
2665,delcatty,torkoal,0.0,0.0,21.0,79.0,8.53
2666,delcatty,exeggutor,0.0,0.0,25.0,75.0,13.51
2667,delcatty,alolan exeggutor,0.0,0.0,33.0,67.0,14.23
2668,delcatty,marowak,0.0,0.0,24.0,76.0,8.68
2669,delcatty,alolan marowak,-1000.0,0.0,0.0,100.0,9.9
2670,delcatty,luvdisc,0.0,0.0,97.0,3.0,5.89
2671,delcatty,clefable,0.0,0.0,5.0,95.0,8.21
2672,delcatty,gallade,0.0,2.0,19.0,81.0,5.19
2673,delcatty,galarian rapidash,0.0,0.0,18.0,82.0,6.28
2674,delcatty,swalot,0.0,0.0,12.0,88.0,9.72
2675,delcatty,weezing,0.0,0.0,31.0,69.0,8.63
2676,delcatty,arbok,0.0,0.0,62.0,38.0,7.04
2677,delcatty,raticate,0.0,0.0,58.0,42.0,7.98
2678,delcatty,alolan raticate,0.0,0.0,65.0,35.0,9.33
2679,delcatty,stantler,0.0,0.0,57.0,43.0,7.29
2680,delcatty,rampardos,-1.0,0.0,0.0,100.0,7.36
2681,delcatty,lickilicky,0.0,0.0,1.0,99.0,10.09
2682,delcatty,rapidash,0.0,0.0,28.0,72.0,6.54
2683,delcatty,wigglytuff,0.0,0.0,12.0,88.0,9.38
2684,delcatty,muk,0.0,0.0,15.0,85.0,9.75
2685,delcatty,sunflora,0.0,0.0,25.0,75.0,7.23
2686,delcatty,sudowoodo,-1.0,0.0,5.0,95.0,9.11
2687,delcatty,tauros,0.0,0.0,6.0,94.0,6.42
2688,delcatty,drapion,0.0,0.0,24.0,76.0,9.4
2689,delcatty,obstagoon,0.0,0.0,0.0,100.0,9.08
2690,delcatty,ambipom,0.0,0.0,2.0,98.0,7.0
2691,delcatty,scizor,-1.0,0.0,1.0,99.0,7.29
2692,delcatty,beedrill,0.0,0.0,61.0,39.0,6.61
2693,delcatty,scyther,0.0,0.0,1.0,99.0,5.53
2694,delcatty,dunsparce,0.0,0.0,37.0,63.0,10.67
2695,delcatty,masquerain,0.0,0.0,51.0,49.0,7.03
2696,delcatty,mothim,0.0,0.0,56.0,44.0,7.08
2697,delcatty,garchomp,0.0,0.0,0.0,100.0,6.5
2698,delcatty,dragonite,0.0,0.0,0.0,100.0,7.46
2699,delcatty,salamence,0.0,0.0,0.0,100.0,6.36
2700,delcatty,flygon,0.0,0.0,3.0,97.0,7.17
2701,furret,skarmory,-1.0,0.0,16.0,84.0,12.86
2702,furret,vespiquen,0.0,0.0,53.0,47.0,13.25
2703,furret,farfetch'd,0.0,0.0,93.0,7.0,6.43
2704,furret,dodrio,0.0,0.0,55.0,45.0,8.73
2705,furret,staraptor,0.0,0.0,37.0,63.0,10.63
2706,furret,swellow,0.0,0.0,50.0,50.0,14.6
2707,furret,hitmontop,0.0,2.0,15.0,85.0,7.25
2708,furret,noctowl,0.0,0.0,70.0,30.0,12.8
2709,furret,crobat,0.0,0.0,34.0,66.0,11.7
2710,furret,fearow,0.0,0.0,82.0,18.0,9.2
2711,furret,pidgeot,0.0,0.0,46.0,54.0,11.32
2712,furret,feraligatr,0.0,0.0,27.0,73.0,12.91
2713,furret,kabutops,-1.0,0.0,24.0,76.0,12.7
2714,furret,dewgong,0.0,0.0,67.0,33.0,14.41
2715,furret,seaking,0.0,0.0,73.0,27.0,9.93
2716,furret,huntail,0.0,0.0,43.0,57.0,11.97
2717,furret,kingdra,0.0,0.0,50.0,50.0,11.36
2718,furret,lapras,0.0,0.0,22.0,78.0,15.3
2719,furret,lumineon,0.0,0.0,80.0,20.0,11.25
2720,furret,milotic,0.0,0.0,46.0,54.0,12.96
2721,furret,chatot,0.0,0.0,83.0,17.0,8.87
2722,furret,slowking,0.0,0.0,54.0,46.0,12.48
2723,furret,gorebyss,0.0,0.0,44.0,56.0,10.8
2724,furret,politoed,0.0,0.0,57.0,43.0,12.63
2725,furret,lucario,-1.0,2.0,12.0,88.0,7.74
2726,furret,abomasnow,0.0,0.0,45.0,55.0,12.43
2727,furret,weavile,0.0,0.0,28.0,72.0,11.1
2728,furret,alolan sandslash,-1.0,0.0,26.0,74.0,13.84
2729,furret,cursola,-1000.0,0.0,0.0,100.0,13.16
2730,furret,gengar,-1000.0,0.0,0.0,100.0,12.24
2731,furret,drifblim,-1000.0,0.0,0.0,100.0,16.92
2732,furret,mismagius,-1000.0,0.0,0.0,100.0,13.56
2733,furret,froslass,-1000.0,0.0,0.0,100.0,14.08
2734,furret,shedinja,-1000.0,0.0,0.0,100.0,16.04
2735,furret,dusknoir,-1000.0,0.0,0.0,100.0,14.86
2736,furret,exploud,0.0,0.0,58.0,42.0,12.52
2737,furret,camerupt,0.0,0.0,74.0,26.0,9.94
2738,furret,torkoal,0.0,0.0,53.0,47.0,14.03
2739,furret,exeggutor,0.0,0.0,69.0,31.0,17.47
2740,furret,alolan exeggutor,0.0,0.0,69.0,30.0,18.33
2741,furret,marowak,0.0,0.0,54.0,46.0,13.32
2742,furret,alolan marowak,-1000.0,0.0,0.0,99.0,17.9
2743,furret,luvdisc,0.0,0.0,98.0,2.0,6.96
2744,furret,clefable,0.0,0.0,43.0,57.0,12.13
2745,furret,gallade,0.0,2.0,49.0,51.0,8.09
2746,furret,galarian rapidash,0.0,0.0,56.0,44.0,9.46
2747,furret,swalot,0.0,0.0,43.0,57.0,14.69
2748,furret,weezing,0.0,0.0,55.0,45.0,12.97
2749,furret,arbok,0.0,0.0,89.0,11.0,8.63
2750,furret,raticate,0.0,0.0,89.0,11.0,8.67
2751,furret,alolan raticate,0.0,0.0,92.0,8.0,10.58
2752,furret,stantler,0.0,0.0,81.0,19.0,9.29
2753,furret,rampardos,-1.0,0.0,15.0,85.0,12.99
2754,furret,lickilicky,0.0,0.0,28.0,72.0,16.72
2755,furret,rapidash,0.0,0.0,58.0,42.0,8.7
2756,furret,wigglytuff,0.0,0.0,43.0,57.0,14.03
2757,furret,muk,0.0,0.0,61.0,39.0,13.73
2758,furret,sunflora,0.0,0.0,74.0,26.0,10.6
2759,furret,sudowoodo,-1.0,0.0,12.0,88.0,14.12
2760,furret,tauros,0.0,0.0,21.0,79.0,11.25
2761,furret,drapion,0.0,0.0,46.0,54.0,14.3
2762,furret,obstagoon,0.0,0.0,8.0,92.0,15.42
2763,furret,ambipom,0.0,0.0,15.0,85.0,13.05
2764,furret,scizor,-1.0,0.0,7.0,93.0,13.23
2765,furret,beedrill,0.0,0.0,88.0,12.0,8.2
2766,furret,scyther,0.0,0.0,17.0,83.0,10.39
2767,furret,dunsparce,0.0,0.0,74.0,26.0,13.36
2768,furret,masquerain,0.0,0.0,79.0,21.0,8.91
2769,furret,mothim,0.0,0.0,81.0,19.0,8.79
2770,furret,garchomp,0.0,0.0,15.0,85.0,12.11
2771,furret,dragonite,0.0,0.0,15.0,85.0,12.93
2772,furret,salamence,0.0,0.0,13.0,87.0,11.83
2773,furret,flygon,0.0,0.0,23.0,77.0,12.59
2774,furret,delcatty,0.0,0.0,87.0,13.0,10.66
2775,linoone,skarmory,-1.0,0.0,29.0,71.0,12.68
2776,linoone,vespiquen,0.0,0.0,67.0,33.0,12.87
2777,linoone,farfetch'd,0.0,0.0,98.0,2.0,6.78
2778,linoone,dodrio,0.0,0.0,66.0,34.0,9.14
2779,linoone,staraptor,0.0,0.0,50.0,50.0,10.66
2780,linoone,swellow,0.0,0.0,54.0,46.0,13.78
2781,linoone,hitmontop,0.0,2.0,28.0,72.0,6.8
2782,linoone,noctowl,0.0,0.0,72.0,28.0,13.12
2783,linoone,crobat,0.0,0.0,36.0,64.0,10.86
2784,linoone,fearow,0.0,0.0,85.0,15.0,8.99
2785,linoone,pidgeot,0.0,0.0,49.0,51.0,11.42
2786,linoone,feraligatr,0.0,0.0,39.0,61.0,12.35
2787,linoone,kabutops,-1.0,0.0,24.0,76.0,11.72
2788,linoone,dewgong,0.0,0.0,58.0,42.0,14.42
2789,linoone,seaking,0.0,0.0,71.0,29.0,9.63
2790,linoone,huntail,0.0,0.0,46.0,54.0,10.76
2791,linoone,kingdra,0.0,0.0,50.0,50.0,11.58
2792,linoone,lapras,0.0,0.0,34.0,66.0,15.92
2793,linoone,lumineon,0.0,0.0,91.0,9.0,11.09
2794,linoone,milotic,0.0,0.0,46.0,54.0,11.18
2795,linoone,chatot,0.0,0.0,87.0,13.0,9.11
2796,linoone,slowking,0.0,0.0,52.0,48.0,11.88
2797,linoone,gorebyss,0.0,0.0,42.0,58.0,10.38
2798,linoone,politoed,0.0,0.0,66.0,34.0,12.66
2799,linoone,lucario,-1.0,2.0,3.0,97.0,7.41
2800,linoone,abomasnow,0.0,0.0,43.0,57.0,12.91
2801,linoone,weavile,0.0,0.0,23.0,77.0,10.07
2802,linoone,alolan sandslash,-1.0,0.0,29.0,71.0,13.21
2803,linoone,cursola,-1000.0,0.0,0.0,100.0,14.08
2804,linoone,gengar,-1000.0,0.0,0.0,100.0,13.01
2805,linoone,drifblim,-1000.0,0.0,0.0,100.0,17.12
2806,linoone,mismagius,-1000.0,0.0,0.0,100.0,14.46
2807,linoone,froslass,-1000.0,0.0,0.0,100.0,14.87
2808,linoone,shedinja,-1000.0,0.0,0.0,100.0,16.82
2809,linoone,dusknoir,-1000.0,0.0,0.0,100.0,14.04
2810,linoone,exploud,0.0,0.0,64.0,36.0,12.0
2811,linoone,camerupt,0.0,0.0,66.0,34.0,10.42
2812,linoone,torkoal,0.0,0.0,58.0,42.0,14.08
2813,linoone,exeggutor,0.0,0.0,70.0,30.0,18.66
2814,linoone,alolan exeggutor,0.0,0.0,67.0,33.0,18.19
2815,linoone,marowak,0.0,0.0,61.0,39.0,12.95
2816,linoone,alolan marowak,-1000.0,0.0,0.0,98.0,18.12
2817,linoone,luvdisc,0.0,0.0,100.0,0.0,4.96
2818,linoone,clefable,0.0,0.0,46.0,54.0,12.84
2819,linoone,gallade,0.0,2.0,61.0,39.0,7.89
2820,linoone,galarian rapidash,0.0,0.0,67.0,33.0,8.68
2821,linoone,swalot,0.0,0.0,60.0,40.0,15.52
2822,linoone,weezing,0.0,0.0,72.0,28.0,12.32
2823,linoone,arbok,0.0,0.0,78.0,22.0,8.08
2824,linoone,raticate,0.0,0.0,94.0,6.0,7.62
2825,linoone,alolan raticate,0.0,0.0,85.0,15.0,11.27
2826,linoone,stantler,0.0,0.0,82.0,18.0,9.3
2827,linoone,rampardos,-1.0,0.0,19.0,81.0,12.85
2828,linoone,lickilicky,0.0,0.0,32.0,68.0,16.86
2829,linoone,rapidash,0.0,0.0,68.0,32.0,8.81
2830,linoone,wigglytuff,0.0,0.0,53.0,47.0,14.29
2831,linoone,muk,0.0,0.0,59.0,41.0,13.37
2832,linoone,sunflora,0.0,0.0,57.0,43.0,10.21
2833,linoone,sudowoodo,-1.0,0.0,21.0,78.0,14.01
2834,linoone,tauros,0.0,0.0,28.0,72.0,11.44
2835,linoone,drapion,0.0,0.0,50.0,50.0,12.92
2836,linoone,obstagoon,0.0,0.0,19.0,81.0,14.01
2837,linoone,ambipom,0.0,0.0,23.0,77.0,12.05
2838,linoone,scizor,-1.0,0.0,9.0,91.0,12.89
2839,linoone,beedrill,0.0,0.0,90.0,10.0,8.08
2840,linoone,scyther,0.0,0.0,27.0,73.0,11.34
2841,linoone,dunsparce,0.0,0.0,68.0,32.0,14.18
2842,linoone,masquerain,0.0,0.0,86.0,14.0,9.02
2843,linoone,mothim,0.0,0.0,82.0,18.0,8.38
2844,linoone,garchomp,0.0,0.0,25.0,75.0,13.03
2845,linoone,dragonite,0.0,0.0,17.0,83.0,12.51
2846,linoone,salamence,0.0,0.0,29.0,71.0,12.25
2847,linoone,flygon,0.0,0.0,30.0,70.0,14.26
2848,linoone,delcatty,0.0,0.0,86.0,14.0,10.72
2849,linoone,furret,0.0,0.0,51.0,49.0,14.21
2850,zangoose,skarmory,-1.0,0.0,8.0,92.0,7.46
2851,zangoose,vespiquen,0.0,0.0,71.0,29.0,6.99
2852,zangoose,farfetch'd,0.0,0.0,95.0,5.0,4.57
2853,zangoose,dodrio,0.0,0.0,48.0,52.0,5.5
2854,zangoose,staraptor,0.0,0.0,16.0,84.0,6.28
2855,zangoose,swellow,0.0,0.0,27.0,73.0,8.41
2856,zangoose,hitmontop,0.0,2.0,14.0,86.0,4.5
2857,zangoose,noctowl,0.0,0.0,67.0,33.0,8.59
2858,zangoose,crobat,0.0,0.0,13.0,87.0,6.01
2859,zangoose,fearow,0.0,0.0,73.0,27.0,6.31
2860,zangoose,pidgeot,0.0,0.0,39.0,61.0,6.85
2861,zangoose,feraligatr,0.0,0.0,33.0,67.0,7.21
2862,zangoose,kabutops,-1.0,0.0,32.0,68.0,7.32
2863,zangoose,dewgong,0.0,0.0,70.0,30.0,7.9
2864,zangoose,seaking,0.0,0.0,55.0,45.0,6.73
2865,zangoose,huntail,0.0,0.0,64.0,36.0,6.62
2866,zangoose,kingdra,0.0,0.0,61.0,39.0,6.31
2867,zangoose,lapras,0.0,0.0,35.0,65.0,8.55
2868,zangoose,lumineon,0.0,0.0,83.0,17.0,6.69
2869,zangoose,milotic,0.0,0.0,44.0,56.0,7.26
2870,zangoose,chatot,0.0,0.0,76.0,24.0,6.78
2871,zangoose,slowking,0.0,0.0,45.0,55.0,7.49
2872,zangoose,gorebyss,0.0,0.0,50.0,50.0,6.22
2873,zangoose,politoed,0.0,0.0,73.0,27.0,7.47
2874,zangoose,lucario,-1.0,2.0,0.0,100.0,3.89
2875,zangoose,abomasnow,0.0,0.0,53.0,47.0,7.15
2876,zangoose,weavile,0.0,0.0,8.0,92.0,5.44
2877,zangoose,alolan sandslash,-1.0,0.0,5.0,95.0,8.35
2878,zangoose,cursola,-1000.0,0.0,0.0,100.0,7.52
2879,zangoose,gengar,-1000.0,0.0,0.0,100.0,6.38
2880,zangoose,drifblim,-1000.0,0.0,0.0,100.0,9.38
2881,zangoose,mismagius,-1000.0,0.0,0.0,100.0,6.96
2882,zangoose,froslass,-1000.0,0.0,0.0,100.0,7.64
2883,zangoose,shedinja,-1000.0,0.0,0.0,100.0,9.38
2884,zangoose,dusknoir,-1000.0,0.0,0.0,100.0,8.2
2885,zangoose,exploud,0.0,0.0,44.0,56.0,8.0
2886,zangoose,camerupt,0.0,0.0,58.0,42.0,6.24
2887,zangoose,torkoal,0.0,0.0,24.0,76.0,9.18
2888,zangoose,exeggutor,0.0,0.0,80.0,20.0,8.88
2889,zangoose,alolan exeggutor,0.0,0.0,79.0,21.0,8.87
2890,zangoose,marowak,0.0,0.0,73.0,27.0,6.77
2891,zangoose,alolan marowak,-1000.0,0.0,0.0,100.0,9.2
2892,zangoose,luvdisc,0.0,0.0,96.0,4.0,4.78
2893,zangoose,clefable,0.0,0.0,46.0,54.0,7.4
2894,zangoose,gallade,0.0,2.0,29.0,71.0,4.71
2895,zangoose,galarian rapidash,0.0,0.0,36.0,64.0,5.58
2896,zangoose,swalot,0.0,0.0,65.0,35.0,8.69
2897,zangoose,weezing,0.0,0.0,52.0,48.0,8.06
2898,zangoose,arbok,0.0,0.0,94.0,6.0,5.26
2899,zangoose,raticate,0.0,0.0,84.0,16.0,5.66
2900,zangoose,alolan raticate,0.0,0.0,91.0,9.0,6.65
2901,zangoose,stantler,0.0,0.0,84.0,16.0,6.22
2902,zangoose,rampardos,-1.0,0.0,4.0,96.0,7.46
2903,zangoose,lickilicky,0.0,0.0,34.0,66.0,9.06
2904,zangoose,rapidash,0.0,0.0,43.0,57.0,5.69
2905,zangoose,wigglytuff,0.0,0.0,34.0,66.0,9.58
2906,zangoose,muk,0.0,0.0,50.0,50.0,7.92
2907,zangoose,sunflora,0.0,0.0,60.0,40.0,6.32
2908,zangoose,sudowoodo,-1.0,0.0,5.0,95.0,8.39
2909,zangoose,tauros,0.0,0.0,19.0,81.0,6.33
2910,zangoose,drapion,0.0,0.0,54.0,46.0,7.66
2911,zangoose,obstagoon,0.0,0.0,9.0,91.0,8.19
2912,zangoose,ambipom,0.0,0.0,10.0,90.0,6.28
2913,zangoose,scizor,-1.0,0.0,14.0,86.0,7.18
2914,zangoose,beedrill,0.0,0.0,81.0,19.0,5.83
2915,zangoose,scyther,0.0,0.0,3.0,97.0,5.39
2916,zangoose,dunsparce,0.0,0.0,66.0,34.0,8.66
2917,zangoose,masquerain,0.0,0.0,80.0,20.0,5.68
2918,zangoose,mothim,0.0,0.0,71.0,29.0,6.23
2919,zangoose,garchomp,0.0,0.0,7.0,93.0,6.25
2920,zangoose,dragonite,0.0,0.0,15.0,85.0,6.93
2921,zangoose,salamence,0.0,0.0,12.0,88.0,6.22
2922,zangoose,flygon,0.0,0.0,5.0,95.0,7.43
2923,zangoose,delcatty,0.0,0.0,76.0,24.0,6.51
2924,zangoose,furret,0.0,0.0,24.0,76.0,9.33
2925,zangoose,linoone,0.0,0.0,25.0,75.0,8.37
2926,persian,skarmory,-1.0,0.0,57.0,43.0,10.61
2927,persian,vespiquen,0.0,0.0,79.0,21.0,9.55
2928,persian,farfetch'd,0.0,0.0,98.0,2.0,4.46
2929,persian,dodrio,0.0,0.0,85.0,15.0,6.23
2930,persian,staraptor,0.0,0.0,77.0,23.0,7.87
2931,persian,swellow,0.0,0.0,50.0,50.0,11.1
2932,persian,hitmontop,0.0,2.0,50.0,50.0,5.7
2933,persian,noctowl,0.0,0.0,74.0,26.0,9.16
2934,persian,crobat,0.0,0.0,34.0,66.0,9.92
2935,persian,fearow,0.0,0.0,94.0,6.0,5.72
2936,persian,pidgeot,0.0,0.0,86.0,14.0,8.3
2937,persian,feraligatr,0.0,0.0,56.0,44.0,10.08
2938,persian,kabutops,-1.0,0.0,45.0,55.0,9.93
2939,persian,dewgong,0.0,0.0,87.0,13.0,9.73
2940,persian,seaking,0.0,0.0,85.0,15.0,6.89
2941,persian,huntail,0.0,0.0,65.0,35.0,8.87
2942,persian,kingdra,0.0,0.0,76.0,24.0,8.12
2943,persian,lapras,0.0,0.0,40.0,60.0,11.5
2944,persian,lumineon,0.0,0.0,91.0,9.0,7.47
2945,persian,milotic,0.0,0.0,72.0,28.0,9.16
2946,persian,chatot,0.0,0.0,90.0,10.0,7.02
2947,persian,slowking,0.0,0.0,73.0,27.0,9.01
2948,persian,gorebyss,0.0,0.0,62.0,38.0,8.6
2949,persian,politoed,0.0,0.0,77.0,23.0,8.53
2950,persian,lucario,-1.0,2.0,33.0,67.0,6.81
2951,persian,abomasnow,0.0,0.0,64.0,36.0,9.04
2952,persian,weavile,0.0,0.0,34.0,66.0,8.58
2953,persian,alolan sandslash,-1.0,0.0,26.0,74.0,12.0
2954,persian,cursola,-1000.0,0.0,0.0,100.0,12.34
2955,persian,gengar,-1000.0,0.0,0.0,100.0,12.42
2956,persian,drifblim,-1000.0,0.0,0.0,100.0,15.32
2957,persian,mismagius,-1000.0,0.0,0.0,100.0,13.56
2958,persian,froslass,-1000.0,0.0,0.0,100.0,13.38
2959,persian,shedinja,-1000.0,0.0,0.0,98.0,14.28
2960,persian,dusknoir,-1000.0,0.0,0.0,100.0,13.28
2961,persian,exploud,0.0,0.0,79.0,21.0,8.55
2962,persian,camerupt,0.0,0.0,81.0,19.0,7.29
2963,persian,torkoal,0.0,0.0,66.0,34.0,10.28
2964,persian,exeggutor,0.0,0.0,87.0,13.0,12.31
2965,persian,alolan exeggutor,0.0,0.0,85.0,15.0,11.63
2966,persian,marowak,0.0,0.0,77.0,23.0,8.99
2967,persian,alolan marowak,-1000.0,0.0,0.0,100.0,15.32
2968,persian,luvdisc,0.0,0.0,100.0,0.0,3.58
2969,persian,clefable,0.0,0.0,70.0,30.0,9.12
2970,persian,gallade,0.0,2.0,68.0,32.0,5.62
2971,persian,galarian rapidash,0.0,0.0,92.0,8.0,6.22
2972,persian,swalot,0.0,0.0,66.0,34.0,10.9
2973,persian,weezing,0.0,0.0,74.0,26.0,9.86
2974,persian,arbok,0.0,0.0,96.0,4.0,5.68
2975,persian,raticate,0.0,0.0,97.0,3.0,4.57
2976,persian,alolan raticate,0.0,0.0,91.0,9.0,7.27
2977,persian,stantler,0.0,0.0,95.0,5.0,6.51
2978,persian,rampardos,-1.0,0.0,56.0,44.0,9.96
2979,persian,lickilicky,0.0,0.0,52.0,48.0,12.32
2980,persian,rapidash,0.0,0.0,91.0,9.0,5.81
2981,persian,wigglytuff,0.0,0.0,61.0,39.0,11.23
2982,persian,muk,0.0,0.0,76.0,24.0,9.42
